[INFO ] 2018-03-20 16:39:43,517 [localhost-startStop-1] Mapped URL path [/system/info/overview.view] onto handler 'commonWebappSystemInfoController'
[INFO ] 2018-03-20 16:39:43,528 [localhost-startStop-1] Mapped URL path [/system/overview.view] onto handler 'commonWebappSystemOverviewController'
[INFO ] 2018-03-20 16:39:43,528 [localhost-startStop-1] Mapped URL path [/system/info/debug.view] onto handler 'filenameViewController'
[INFO ] 2018-03-20 16:39:43,536 [localhost-startStop-1] Mapped URL path [/system/logging/overview.view] onto handler 'commonWebappLoggingOverviewController'
[INFO ] 2018-03-20 16:39:43,794 [localhost-startStop-1] Mapped URL path [/protocol] onto handler 'rdf4jProtocolController'
[INFO ] 2018-03-20 16:39:43,806 [localhost-startStop-1] Mapped URL path [/repositories] onto handler 'rdf4jRepositoryListController'
[INFO ] 2018-03-20 16:39:43,808 [localhost-startStop-1] Mapped URL path [/repositories/*/namespaces] onto handler 'rdf4jRepositoryNamespacesController'
[INFO ] 2018-03-20 16:39:43,813 [localhost-startStop-1] Mapped URL path [/repositories/*/transactions/*] onto handler 'rdf4jRepositoryTransactionController'
[INFO ] 2018-03-20 16:39:43,813 [localhost-startStop-1] Mapped URL path [/repositories/*/size] onto handler 'rdf4jRepositorySizeController'
[INFO ] 2018-03-20 16:39:43,814 [localhost-startStop-1] Mapped URL path [/repositories/*/transactions] onto handler 'rdf4jRepositoryTransactionStartController'
[INFO ] 2018-03-20 16:39:43,814 [localhost-startStop-1] Mapped URL path [/repositories/*/contexts] onto handler 'rdf4jRepositoryContextsController'
[INFO ] 2018-03-20 16:39:43,818 [localhost-startStop-1] Mapped URL path [/repositories/*] onto handler 'rdf4jRepositoryController'
[INFO ] 2018-03-20 16:39:43,818 [localhost-startStop-1] Mapped URL path [/repositories/*/namespaces/*] onto handler 'rdf4jRepositoryNamespaceController'
[INFO ] 2018-03-20 16:39:43,819 [localhost-startStop-1] Mapped URL path [/repositories/*/statements] onto handler 'rdf4jRepositoryStatementsController'
[INFO ] 2018-03-20 16:39:43,820 [localhost-startStop-1] Mapped URL path [/repositories/*/rdf-graphs/*] onto handler 'rdf4jRepositoryGraphController'
[INFO ] 2018-03-20 16:39:43,820 [localhost-startStop-1] Mapped URL path [/repositories/*/rdf-graphs] onto handler 'rdf4jRepositoryContextsController'
[INFO ] 2018-03-20 16:39:43,821 [localhost-startStop-1] Mapped URL path [/home/overview.view] onto handler 'filenameViewController'
[INFO ] 2018-03-20 16:39:43,821 [localhost-startStop-1] Mapped URL path [/overview.view] onto handler 'filenameViewController'
[INFO ] 2018-03-20 16:39:43,883 [localhost-startStop-1] FrameworkServlet 'rdf4j-http-server': initialization completed in 1222 ms
[INFO ] 2018-03-20 16:42:37,528 [repositories/eldatest] GET query -984748450
[INFO ] 2018-03-20 16:42:37,725 [repositories/eldatest] Request for query -984748450 is finished
[INFO ] 2018-03-20 16:46:14,909 [localhost-startStop-2] Closing WebApplicationContext for namespace 'rdf4j-http-server-servlet': startup date [Tue Mar 20 16:39:42 UTC 2018]; root of context hierarchy
